num_evaluations,best
400,24593704243.699913
800,24024735138.984005
1200,23395461914.40273
1600,22593394852.79224
2000,20614706192.107372
2400,18721534293.668167
2800,15545817689.304508
3200,9905487910.18554
3600,8641148804.453403
4000,8141789099.46151
4400,8141789099.46151
4800,8141789099.46151
5200,8141789099.46151
5600,8141789099.46151
6000,8141789099.46151
6400,8141789099.46151
6800,8141789099.46151
7200,8141789099.46151
7600,8141789099.46151
8000,8141789099.46151
8400,8141789099.46151
8800,8141789099.46151
9200,8141789099.46151
9600,8141789099.46151
10000,8141789099.46151
10400,8141789099.46151
10800,8141789099.46151
11200,8141789099.46151
11600,8141789099.46151
12000,7566605946.126855
12400,5449947686.873486
12800,5449947686.873486
13200,5449947686.873486
13600,5449947686.873486
14000,5449947686.873486
14400,5449947686.873486
14800,4601827679.993249
15200,4601827679.993249
15600,4601827679.993249
16000,4601827679.993249
16400,4601827679.993249
16800,3684018719.7620115
17200,3684018719.7620115
17600,2993399065.987621
18000,2993399065.987621
18400,2993399065.987621
18800,2708351306.2908354
19200,2708351306.2908354
19600,2342715241.1224337
20000,2342715241.1224337
20400,2342715241.1224337
20800,2342715241.1224337
21200,2342715241.1224337
21600,2342715241.1224337
22000,2116906030.1083934
22400,2116906030.1083934
22800,2116906030.1083934
23200,2116906030.1083934
23600,2116906030.1083934
24000,2116906030.1083934
24400,1937887242.7636614
24800,1937887242.7636614
25200,1909222394.0705297
25600,1909222394.0705297
26000,1584225195.0372086
26400,1523170708.6872003
26800,1425942568.414303
27200,1425942568.414303
27600,1425942568.414303
28000,1425942568.414303
28400,1425942568.414303
28800,880925663.0634204
29200,880925663.0634204
29600,880925663.0634204
30000,880925663.0634204
30400,783034025.3661622
30800,783034025.3661622
31200,783034025.3661622
31600,783034025.3661622
32000,783034025.3661622
32400,783034025.3661622
32800,771888930.3867784
33200,628662319.0333703
33600,628662319.0333703
34000,628662319.0333703
34400,583490917.0090749
34800,583490917.0090749
35200,521279066.407164
35600,521279066.407164
36000,521279066.407164
36400,521279066.407164
36800,521279066.407164
37200,485965185.42711097
37600,411631497.37564075
38000,411631497.37564075
38400,411631497.37564075
38800,411623424.40857697
39200,400958815.38301545
39600,400958815.38301545
40000,400958815.38301545
40400,383155636.70676917
40800,383155636.70676917
41200,325274661.1220865
41600,301053223.65987086
42000,301053223.65987086
42400,301053223.65987086
42800,273312183.34455866
43200,232527181.27597705
43600,232527181.27597705
44000,232527181.27597705
44400,201744676.11676732
44800,201744676.11676732
45200,201744676.11676732
45600,201744676.11676732
46000,201744676.11676732
46400,201744676.11676732
46800,201744676.11676732
47200,201744676.11676732
47600,194499184.77087766
48000,194499184.77087766
48400,194499184.77087766
48800,194499184.77087766
49200,194499184.77087766
49600,194499184.77087766
50000,194499184.77087766
50400,194499184.77087766
50800,182355906.2706794
51200,182355906.2706794
51600,179823858.49641544
52000,179823858.49641544
52400,167132788.22162193
52800,167132788.22162193
53200,167132788.22162193
53600,146969393.7819164
54000,146969393.7819164
54400,146969393.7819164
54800,146969393.7819164
55200,141572223.09294745
55600,127236774.59647074
56000,127236774.59647074
56400,127236774.59647074
56800,127236774.59647074
57200,111015725.34582056
57600,111015725.34582056
58000,111015725.34582056
58400,111015725.34582056
58800,111015725.34582056
59200,111015725.34582056
59600,111015725.34582056
60000,109248195.27355805
60400,105249490.59696597
60800,105249490.59696597
61200,105249490.59696597
61600,104417617.53966324
62000,99168000.63807783
62400,90619947.95407356
62800,90619947.95407356
63200,81808061.52526326
63600,81808061.52526326
64000,81808061.52526326
64400,81808061.52526326
64800,81808061.52526326
65200,81808061.52526326
65600,81808061.52526326
66000,81808061.52526326
66400,81808061.52526326
66800,75974822.77400205
67200,75974822.77400205
67600,75974822.77400205
68000,75673889.17954649
68400,66367455.96831755
68800,66367455.96831755
69200,66367455.96831755
69600,66367455.96831755
70000,66059663.54549499
70400,66059663.54549499
70800,63400759.33007709
71200,57005325.975095406
71600,57005325.975095406
72000,57005325.975095406
72400,50577203.18817096
72800,50577203.18817096
73200,50577203.18817096
73600,50577203.18817096
74000,50577203.18817096
74400,50577203.18817096
74800,50577203.18817096
75200,50577203.18817096
75600,50577203.18817096
76000,50577203.18817096
76400,50577203.18817096
76800,50577203.18817096
77200,50577203.18817096
77600,50577203.18817096
78000,50577203.18817096
78400,50577203.18817096
78800,50577203.18817096
79200,50577203.18817096
79600,50516813.51255967
80000,48014000.78833447
80400,46018655.17131217
80800,45789286.65381426
81200,45789286.65381426
81600,45789286.65381426
82000,44000410.147151135
82400,44000410.147151135
82800,44000410.147151135
83200,43903736.81123467
83600,43903736.81123467
84000,41988357.297512494
84400,41988357.297512494
84800,41469650.84618642
85200,37195609.7554902
85600,37195609.7554902
86000,37195609.7554902
86400,37195609.7554902
86800,36785129.57503337
87200,36714720.598692976
87600,36714720.598692976
88000,36523879.657464296
88400,36523879.657464296
88800,36523879.657464296
89200,36523879.657464296
89600,36523879.657464296
90000,36523879.657464296
90400,36523879.657464296
90800,36523879.657464296
91200,36523879.657464296
91600,34839798.59681652
92000,34839798.59681652
92400,33680584.82036177
92800,33171060.867173426
93200,31294401.05278608
93600,31294401.05278608
94000,29794149.891317695
94400,29794149.891317695
94800,29794149.891317695
95200,29493033.29913264
95600,27379814.49796384
96000,27379814.49796384
96400,27379814.49796384
96800,22843297.128731336
97200,22843297.128731336
97600,22843297.128731336
98000,22843297.128731336
98400,22843297.128731336
98800,22843297.128731336
99200,22843297.128731336
99600,22843297.128731336
100000,21951406.89776969
100400,21951406.89776969
100800,21951406.89776969
101200,21951406.89776969
101600,21951406.89776969
102000,19421256.979092136
102400,19421256.979092136
102800,19421256.979092136
103200,19421256.979092136
103600,19421256.979092136
104000,19421256.979092136
104400,19421256.979092136
104800,17387856.88889252
105200,17387856.88889252
105600,17387856.88889252
106000,17387856.88889252
106400,17387856.88889252
106800,17387856.88889252
107200,17201633.33730313
107600,17201633.33730313
108000,17201633.33730313
108400,16622883.802094402
108800,16622883.802094402
109200,16622883.802094402
109600,16318983.215798961
110000,16318983.215798961
110400,16318983.215798961
110800,15904531.856091984
111200,15904531.856091984
111600,15709829.268763427
112000,15709829.268763427
112400,15709829.268763427
112800,15709829.268763427
113200,15140879.652376818
113600,14283691.590597427
114000,14283691.590597427
114400,13625772.69135073
114800,13625772.69135073
115200,13625772.69135073
115600,13504488.131542021
116000,13227136.582292058
116400,13227136.582292058
116800,13227136.582292058
117200,13227136.582292058
117600,13227136.582292058
118000,13227136.582292058
118400,12890147.327082185
118800,12890147.327082185
119200,12617860.189315917
119600,11786292.01524453
120000,11786292.01524453
120400,11786292.01524453
120800,10878580.868487626
121200,10878580.868487626
121600,10527563.820512205
122000,10277342.006573804
122400,9771184.536146166
122800,9771184.536146166
123200,9771184.536146166
123600,9605210.064111564
124000,9605210.064111564
124400,9605210.064111564
124800,9605210.064111564
125200,9605210.064111564
125600,9605210.064111564
126000,8568967.239821535
126400,8568967.239821535
126800,8568967.239821535
127200,8568967.239821535
127600,8568967.239821535
128000,8568967.239821535
128400,8568967.239821535
128800,8568967.239821535
129200,8568967.239821535
129600,8568967.239821535
130000,8568967.239821535
130400,8568967.239821535
130800,8568967.239821535
131200,8568967.239821535
131600,8568967.239821535
132000,8144504.281406046
132400,8144504.281406046
132800,8055031.5546051245
133200,7900484.715456232
133600,7900484.715456232
134000,7900484.715456232
134400,7276730.187671902
134800,7276730.187671902
135200,7276730.187671902
135600,7276730.187671902
136000,6789077.256708339
136400,6789077.256708339
136800,6629483.942036224
137200,6629483.942036224
137600,6629483.942036224
138000,6450563.267381726
138400,6450563.267381726
138800,6450563.267381726
139200,6450563.267381726
139600,6389858.286774408
140000,6389858.286774408
140400,6389858.286774408
140800,5959624.415763319
141200,5959624.415763319
141600,5838435.388481971
142000,5838435.388481971
142400,5838435.388481971
142800,5838435.388481971
143200,5838435.388481971
143600,5838435.388481971
144000,5838435.388481971
144400,5838435.388481971
144800,5838435.388481971
145200,5838435.388481971
145600,5714802.8391273
146000,5714802.8391273
146400,5714802.8391273
146800,5714802.8391273
147200,5714802.8391273
147600,5187346.896278573
148000,5166075.405864636
148400,5098170.395734615
148800,5098170.395734615
149200,5098170.395734615
149600,5098170.395734615
150000,5081337.33875843
150400,4803105.584174945
150800,4777771.255910358
151200,4777771.255910358
151600,4777771.255910358
152000,4764146.367004924
152400,4764146.367004924
152800,4503165.669695742
153200,4503165.669695742
153600,4186387.0871583954
154000,4186387.0871583954
154400,4186387.0871583954
154800,4186387.0871583954
155200,4186387.0871583954
155600,4186387.0871583954
156000,4186387.0871583954
156400,4186387.0871583954
156800,4186387.0871583954
157200,4186387.0871583954
157600,4186387.0871583954
158000,4186387.0871583954
158400,4186387.0871583954
158800,4186387.0871583954
159200,4186387.0871583954
159600,4186387.0871583954
160000,4186387.0871583954
160400,4186387.0871583954
160800,4098320.7503061607
161200,3574970.9755305257
161600,3574970.9755305257
162000,3574970.9755305257
162400,3353732.214657725
162800,3264323.898049869
163200,3264323.898049869
163600,3264323.898049869
164000,3264323.898049869
164400,3220193.950470743
164800,3220193.950470743
165200,3220193.950470743
165600,3164617.2023957754
166000,3164617.2023957754
166400,3164617.2023957754
166800,3164617.2023957754
167200,3164617.2023957754
167600,3164617.2023957754
168000,3162077.759619646
168400,3102503.708689804
168800,3102503.708689804
169200,3050505.8571142657
169600,3050505.8571142657
170000,3050505.8571142657
170400,3050505.8571142657
170800,3050505.8571142657
171200,3050505.8571142657
171600,3050505.8571142657
172000,3050505.8571142657
172400,3050505.8571142657
172800,2829165.9293707907
173200,2829165.9293707907
173600,2829165.9293707907
174000,2770032.320455825
174400,2490413.014168059
174800,2490413.014168059
175200,2490413.014168059
175600,2444213.620524193
176000,2417520.2471848433
176400,2260664.5887741772
176800,2260664.5887741772
177200,2215939.418045534
177600,2165879.993613995
178000,1994190.3820907618
178400,1994190.3820907618
178800,1994190.3820907618
179200,1936031.3527403027
179600,1878425.5336654258
180000,1821265.2299361175
180400,1821265.2299361175
180800,1722540.7789272368
181200,1722540.7789272368
181600,1722540.7789272368
182000,1722540.7789272368
182400,1722540.7789272368
182800,1722540.7789272368
183200,1722540.7789272368
183600,1722540.7789272368
184000,1722540.7789272368
184400,1722540.7789272368
184800,1722540.7789272368
185200,1722540.7789272368
185600,1682020.240133654
186000,1682020.240133654
186400,1682020.240133654
186800,1682020.240133654
187200,1682020.240133654
187600,1682020.240133654
188000,1682020.240133654
188400,1656731.8478882283
188800,1656731.8478882283
189200,1656731.8478882283
189600,1605814.166849115
190000,1605814.166849115
190400,1605814.166849115
190800,1605814.166849115
191200,1597977.8374786142
191600,1597977.8374786142
192000,1510009.9109076147
192400,1510009.9109076147
192800,1510009.9109076147
193200,1510009.9109076147
193600,1510009.9109076147
194000,1434901.5326127124
194400,1434901.5326127124
194800,1434901.5326127124
195200,1434901.5326127124
195600,1434901.5326127124
196000,1434901.5326127124
196400,1434901.5326127124
196800,1434901.5326127124
197200,1434901.5326127124
197600,1384951.8156673932
198000,1326073.2055626942
198400,1326073.2055626942
198800,1326073.2055626942
199200,1269383.1490255697
199600,1269383.1490255697
200000,1269383.1490255697
200202,825623.1503457136
200303,753633.686069184
200404,665394.5868395835
200505,592138.7917310186
200606,517293.0417426757
200707,475966.05926101207
200808,429644.98880712315
200909,401036.48746392643
201010,373296.04413294076
201111,341972.36346188
201212,309458.97568917053
201313,279868.1680337432
201414,252380.65593122665
201515,249156.46174066607
201616,243397.93981121923
201717,233934.7236711261
201818,220786.01535492437
201919,216140.40809819987
202020,209483.64519546975
202121,201526.22169627142
202222,191825.6410680948
202323,181872.0565549069
202424,179427.59862932455
202525,175206.3428572366
202626,168797.85992188012
202727,160997.86096717688
202828,157424.20171565367
202929,156518.96892109618
203030,155063.2064009358
203131,152764.78139074985
203232,149506.7519222177
203333,147231.2461703598
203434,144880.4239582013
203535,141526.9452554048
203636,137779.89833641858
203737,135500.56533752012
203838,132661.51044865858
203939,129763.29404606571
204040,127954.9672763908
204141,125127.08361712904
204242,123464.87982984903
204343,122099.51020741806
204444,119798.44824009138
204545,116495.16074882135
204646,113030.6286683211
204747,109754.57388888391
204949,108323.92528540031
205050,107051.41482558814
205151,105059.95348645245
205252,102584.80424377364
205353,99388.31495295199
205454,97062.41182648944
205555,94441.99872204039
205656,92662.7873542506
205858,91928.89051142789
205959,91014.83306836466
206060,89527.85941912603
206161,86912.28532798206
206262,84939.33056453773
206363,84220.53608878571
206464,82930.02273655387
206565,81357.74234025064
206666,79770.60941738912
206767,76961.94563215307
206969,75555.67748119688
207070,72957.60251969758
207171,68237.84956724684
207373,67761.88269277838
207474,66859.01454962416
207575,65449.41315696643
207676,64202.557115823605
207777,61865.45673965024
207979,61441.724666495626
208181,57548.74911345093
208282,54933.53385630109
208383,51615.707391006516
208484,47475.72557222022
208686,47078.63051677207
208888,43775.50446202154
208989,39319.10277368301
209090,34001.60433728203
209191,26335.44736762656
209292,17397.425513348368
209393,15137.419643946927
209494,11802.958205506318
209595,9619.84035194687
209696,7050.809792962464
209797,4632.73665796058
209898,2400.407647547445
209999,1817.790488871782
210100,1073.1382839445128
210302,679.2368950917245
210403,387.43749482893475
210504,188.72172031893362
210605,140.50587676217995
210706,80.05715507793863
210807,37.068040796041835
210908,21.477068800839398
211009,7.470496372065776
211211,2.6717151504595393
211413,0.7578038409841288
211615,0.0734910945976225
211817,0.0037420097000229343
212019,0.0009640442810715848
212120,0.0007026910886414308
212221,0.0002796518206514175
212322,4.3055491304536774e-05
212423,1.0303046764916605e-05
212524,3.432908877998035e-08
212625,6.609057027799417e-10
212726,4.2620672408439855e-10
212827,4.261845962535256e-10
